stock_symbol,date,open_price,current_price,high_price,low_price,trading_volume,market_trend
AAPL,2024-09-24,228.4,227.12,229.1,225.48,43556100,Downward
AAPL,2024-09-25,224.68,226.12,227.04,223.77,42308700,Upward
AAPL,2024-09-26,227.05,227.27,228.25,225.16,36636700,Upward
AAPL,2024-09-27,228.21,227.54,229.27,227.05,34026000,Downward
AAPL,2024-09-30,229.79,232.74,232.74,229.4,54541900,Upward
AAPL,2024-10-01,229.27,225.96,229.4,223.49,63285000,Downward
AAPL,2024-10-02,225.64,226.53,227.12,222.77,32880600,Upward
AAPL,2024-10-03,224.89,225.42,226.56,223.07,34044200,Upward
AAPL,2024-10-04,227.65,226.55,227.75,223.88,37245100,Downward
AAPL,2024-10-07,224.25,221.45,225.44,221.09,39505400,Downward
AAPL,2024-10-08,224.05,225.52,225.73,223,31855700,Upward
AAPL,2024-10-09,224.98,229.29,229.5,224.58,33591100,Upward
AAPL,2024-10-10,227.53,228.79,229.25,226.92,28183500,Upward
AAPL,2024-10-11,229.05,227.3,229.16,227.09,31759200,Downward
AAPL,2024-10-14,228.45,231.05,231.48,228.35,39882100,Upward
AAPL,2024-10-15,233.35,233.59,237.23,232.11,64751400,Upward
AAPL,2024-10-16,231.35,231.53,231.86,229.59,34082200,Upward
AAPL,2024-10-17,233.17,231.89,233.59,230.27,32993800,Downward
AAPL,2024-10-18,235.92,234.74,235.92,233.75,46431500,Downward
AAPL,2024-10-21,234.19,236.22,236.59,234.19,36254500,Upward
AAPL,2024-10-22,233.63,235.6,235.96,232.34,38846600,Upward
AAPL,2024-10-23,233.82,230.51,234.88,227.51,52287000,Downward
AAPL,2024-10-24,229.73,230.32,230.57,228.16,31109500,Upward
AAPL,2024-10-25,229.49,231.16,232.96,229.32,38802300,Upward
AAPL,2024-10-28,233.06,233.14,234.47,232.29,36087100,Upward
AAPL,2024-10-29,232.84,233.41,234.07,232.06,35417200,Upward
AAPL,2024-10-30,232.35,229.85,233.21,229.3,47070900,Downward
AAPL,2024-10-31,229.09,225.66,229.58,225.12,64370100,Downward
AAPL,2024-11-01,220.73,222.67,225.1,220.03,65276700,Upward
AAPL,2024-11-04,220.75,221.77,222.55,219.47,44944500,Upward
AAPL,2024-11-05,221.56,223.2,223.7,220.9,28111300,Upward
AAPL,2024-11-06,222.37,222.48,225.82,220.95,54561100,Upward
AAPL,2024-11-07,224.38,227.23,227.63,224.32,42137700,Upward
AAPL,2024-11-08,227.17,226.96,228.66,226.41,38328800,Downward
AAPL,2024-11-11,225,224.23,225.7,221.5,42005600,Downward
AAPL,2024-11-12,224.55,224.23,225.59,223.36,40398300,Downward
AAPL,2024-11-13,224.01,225.12,226.65,222.76,48566200,Upward
AAPL,2024-11-14,225.02,228.22,228.87,225,44923900,Upward
AAPL,2024-11-15,226.4,225,226.92,224.27,47923700,Downward
AAPL,2024-11-18,225.25,228.02,229.74,225.17,44686000,Upward
AAPL,2024-11-19,226.98,228.28,230.16,226.66,36211800,Upward
AAPL,2024-11-20,228.06,229,229.93,225.89,35169600,Upward
